raw_id,file_name,ingest_status,wiki_source_page,ingest_date,ingest_type,notes
R001,JVTO_FINAL_CLEAN_SSOT.json,ingested,sources/ssot-v6,2026-05-06,single,Foundation SSOT — first ingest
R002,db_export_raw.json,ingested,sources/db-export-2026-05,2026-05-12,single,Live DB 14 categories
R003,Tourist Police-Led Private Volcano Tours in East Java.md,ingested,sources/jvto-homepage-clip,2026-05-06,single,Homepage clip — tone/voice authority
R004,JVTO_Policy_Pack_REVISED_v6_2026-01-26_3POLICIES_ONLY.md,ingested,sources/jvto-policy-pack-v6,2026-05-12,single,3 policies — booking/inclusions/privacy
R005,JVTO_Travel_Guide_PUBLISHABLE_EN_2026-01-18.md,ingested,sources/jvto-travel-guide-en,2026-05-12,single,Travel guide EN publishable copy
R006,JVTO_Travel_Guide_SSOT_EN.json,ingested,sources/jvto-travel-guide-en,2026-05-12,bundled,Bundled with R005
R007,llm-kb-tooling-guide.md,ingested,sources/llm-kb-tooling-guide,2026-05-11,single,Workflows 4-6 basis
R008,sitemap.xml,ingested,sources/sitemap-2026-05,2026-05-12,single,44 URLs — resolved package count
R009,JVTO SSOT Image Inventory.md,ingested,sources/ssot-image-asset-map,2026-05-16,bundled,Bundled with R010 + R011
R010,JVTO SSOT Image Asset Map.md,ingested,sources/ssot-image-asset-map,2026-05-16,bundled,Bundled with R009 + R011
R011,jvto_image_asset_map.json,ingested,sources/ssot-image-asset-map,2026-05-16,bundled,Bundled with R009 + R010 — authoritative
R012,routes.csv,ingested,sources/route-data-csv,2026-05-18,single,43 routes — DB supplement
R013,route_details.csv,ingested,sources/route-data-csv,2026-05-18,single,217 activity rows — DB supplement
R014,API_Documentation_JVTO.pdf,ingested,sources/wa-pro-crm-api,2026-05-25,single,6 REST endpoints documented
R015,Kawah_Ijen_Volcano.gpx,ingested,sources/gpx-destination-data,2026-05-11,bundled,Data in destination pages; source page 2026-05-25
R016,Gunung_Bromo.gpx,ingested,sources/gpx-destination-data,2026-05-11,bundled,Data in destination pages; source page 2026-05-25
R017,Air_Terjun_Tumpak_Sewu.gpx,ingested,sources/gpx-destination-data,2026-05-11,bundled,Data in destination pages; source page 2026-05-25
