id,code,route,itinerary_title,start_area,end_area,estimated_duration,main_activities,accommodation_status,customer_tips,overview,breakfast,lunch,dinner,meals_notes
1,SUB-BROMO-MIDNIGHT,Surabaya - Bromo Midnight Tour - Surabaya,Overnight Adventure in Bromo: Midnight Departure from Surabaya,Surabaya,Surabaya,~14 - 16 Hours (Total from pick-up to return drop-off),"Night trip, Bromo Jeep tour (sunrise & crater), back to Surabaya.",None(last night's tour).,This is a very tiring tour. It's highly recommended to get plenty of sleep and rest before the tour begins. Bring a neck pillow for comfort in the car.,"Forget the hotel and sleep on the road! This quick adventure picks you up from Surabaya at midnight and takes you through the darkness straight to the foot of Mount Bromo. You'll switch to a 4WD Jeep for an off-road adventure, witness a magical sunrise, climb the crater, and return to Surabaya in the afternoon. This is an intense and highly efficient route for those with limited time.",t,f,f,
2,SUB-BONDOWOSO,Surabaya - Bondowoso (Ijen Area),Towards the Ijen Plateau: Overland Travel from Surabaya to Bondowoso,Surabaya,Bondowoso (Ijen Area),5 - 6 Hours,"Private pickup, ground travel, check-in,Health Check (MCU) at the hotel.",Check-in & Stayat hotels/homestays in the Bondowoso area.,"MCU: This is a mandatory procedure from the National Park. The screening is very simple and quick, involving only a basic check of your vital signs such as blood pressure to ensure you are fit to climb. MCU Fee: The MCU is already included in the package","This long journey is the perfect transition from the hustle and bustle of Surabaya to the tranquility of the mountains. After arriving and checking in, a medical professional will come to your hotel for a brief, comfortable health check. Afterward, enjoy a well-prepared dinner to conclude your day.",f,f,t,
3,SUB-BANYUWANGI,Surabaya - Banyuwangi (Ijen Area),North Coast Expedition: The Long Journey from Surabaya to Banyuwangi,Surabaya,Banyuwangi (Ijen Area),6 - 7 Hours,"Private pickup, long road trip, check-in,Health Check (MCU) at the hotel.",Check-in & Stayat a hotel/homestay in the Banyuwangi area.,"MCU:This is the proceduremustfrom the National Park. The screening is very simple and quick, only involving checking your vital signs (such as blood pressure) to ensure you are fit enough to climb. MCU Fee:The examination fee isIDR 35,000 per person not includedin the package and can be paid directly to medical personnel.","This is an epic road trip along the north coast of Java. After the long journey and check-in at your hotel, medical personnel will come to perform a brief and comfortable health check. Afterward, you can relax as dinner is prepared.",f,f,t,
4,SUB-BROMO-TRANSFER,Surabaya - Cemoro Lawang (Bromo Area),Gateway to the Clouds: Your Journey from Surabaya to Mount Bromo,Surabaya,Cemoro Lawang (Bromo Area),3 - 4 Hours,"Private pick-up, overland travel, check-in at mountain hotel.",Check-in & Stayat hotels/homestays in the Bromo area.,Temperatures at Bromo can drop to 10-15Â°C. Pack a jacket and rest early.,"Your adventure begins when we pick you up from Surabaya. Enjoy a comfortable ride as the scenery changes from the city to the cool Tengger mountains. You'll feel the temperature drop, signaling your arrival at Cemoro Lawang, a magical village on the rim of the Bromo crater.",f,f,f,
5,SUB-LUMAJANG,Surabaya - Lumajang (Tumpak Sewu Area),The Path to Waterfall Paradise: The Journey from Surabaya to Tumpak Sewu,Surabaya,Lumajang (Tumpak Sewu Area),3 - 4 Hours,"Private pick-up, road trip, check-in at accommodation near nature.",Check-in & Stayat the homestay/cottage in the Tumpak Sewu area.,"Accommodations in this area are generally more basic. Phone reception may be limited, but hotels offer Wi-Fi.","This journey from Surabaya will take you south, passing through small towns and plantations, experiencing the authentic East Javanese countryside before arriving in Lumajang, home to the magnificent Tumpak Sewu.",f,f,f,
6,SUB-SAFARI-BROMO,Surabaya - Safari Park - Bromo Area,From Wildlife to Volcano Peak: Safari Park Tour & Onward to Bromo,Surabaya,Bromo Area,Full day.,"Safari Park tour, transfer to Bromo, check-in.",Check-in & Stayat hotels/homestays in the Bromo area.,This route is very efficient for combining two different types of tours in one day.,"A perfect day for a double adventure! Starting in Surabaya, you'll explore Prigen Safari Park, interacting with wildlife up close. In the afternoon, continue your journey uphill to Mount Bromo, ready for the next day's sunrise adventure.",t,f,f,
7,SUB-CITYTOUR,Surabaya Hotel - Surabaya City Tour - Surabaya Hotel,The Pulse of the City of Heroes: A One-Day Tour of Surabaya,Surabaya Hotel,Surabaya Hotel,6 - 7 Hours,"Visit monuments, museums, unique places of worship, and iconic bridges.",Back to Hotel.,Wear modest clothing when visiting places of worship. Surabaya can be very hot.,"Explore Surabaya's rich history and culture. Feel the spirit of struggle at the Heroes' Monument, smell the aroma of tobacco at the House of Sampoerna, witness the cultural blend at the Cheng Ho Mosque, and marvel at the city's majestic modern icon, the Suramadu Bridge.",t,f,f,
8,SUB-YOGYA,Surabaya - Yogyakarta (via Train),Across Java: Transfer from Surabaya to Yogyakarta,Surabaya,Yogyakarta (via Train),4-5 hours (train) or 6-7 hours (private car),"Transfer to Station/Overland travel, arrival in Yogyakarta, check-in hotel.",Check-in & Stayat a hotel in the Yogyakarta area.,Traveling by train is highly recommended because it is faster and more comfortable.,"Continue your adventure to the heart of Javanese culture. Enjoy a long road trip through the heart of Java, or choose the faster and more comfortable train option, taking in views of rice paddies and distant volcanoes.",t,f,f,
9,SUB-AIRPORT,Surabaya Hotel - Surabaya Airport,Convenient Delivery to Juanda Airport,Surabaya Hotel,Surabaya Airport,1 - 1.5 Hours (travel to the airport),"Breakfast, check-out, transfer to the airport.",Check-out / Tour Ended.,It is important to leave for the airport early to anticipate traffic jams and the check-in process. Starting from Bali,"After enjoying your final breakfast at the hotel, take advantage of some free time before we pick you up for a quiet and stress-free transfer to Juanda International Airport (SUB) for your onward flight.",t,f,f,
10,BALI-BANYUWANGI,Bali Hotel - Gilimanuk Ferry - Banyuwangi (Ijen Area),Cross-Strait Adventure: From Bali to Banyuwangi (Ijen Area),Bali Hotel,Banyuwangi (Ijen Area),4 - 6 Hours,"Overland travel in Bali, ferry crossing, check-in,Health Check (MCU) at the hotel.",Check-in & Stayat a hotel/homestay in the Banyuwangi area.,"MCU:This is the proceduremustfrom the National Park. The screening is very simple and quick, only involving checking your vital signs (such as blood pressure) to ensure you are fit enough to climb. MCU Fee:The examination fee isIDR 35,000 per person not includedin the package and can be paid directly to medical personnel.","Your unique adventure begins with a road trip across the western part of Bali to Gilimanuk Harbor. Upon arrival in Banyuwangi, after check-in, medical personnel will visit you at your hotel for a convenient medical check-up, before enjoying a awaited dinner.",f,f,t,
