raw_id,file_name,source_url,publisher,published_date
R001,JVTO_FINAL_CLEAN_SSOT.json,,PT Java Volcano Rendezvous,2026-04-22
R002,db_export_raw.json,,PT Java Volcano Rendezvous,2026-05-12
R003,Tourist Police-Led Private Volcano Tours in East Java.md,https://javavolcano-touroperator.com/,PT Java Volcano Rendezvous,2021-03-14
R004,JVTO_Policy_Pack_REVISED_v6_2026-01-26_3POLICIES_ONLY.md,,PT Java Volcano Rendezvous,2026-01-17
R005,JVTO_Travel_Guide_PUBLISHABLE_EN_2026-01-18.md,,PT Java Volcano Rendezvous,2026-01-19
R006,JVTO_Travel_Guide_SSOT_EN.json,,PT Java Volcano Rendezvous,2026-01-19
R007,llm-kb-tooling-guide.md,,,2026-05-11
R008,sitemap.xml,https://javavolcano-touroperator.com/sitemap.xml,PT Java Volcano Rendezvous,2026-05-12
R009,JVTO SSOT Image Inventory.md,,PT Java Volcano Rendezvous,
R010,JVTO SSOT Image Asset Map.md,,PT Java Volcano Rendezvous,
R011,jvto_image_asset_map.json,,PT Java Volcano Rendezvous,
R012,routes.csv,,PT Java Volcano Rendezvous,
R013,route_details.csv,,PT Java Volcano Rendezvous,
R014,API_Documentation_JVTO.pdf,https://wa-dashboard.javavolcano-touroperator.com/,WA Pro CRM,
R015,Kawah_Ijen_Volcano.gpx,,AllTrails,
R016,Gunung_Bromo.gpx,,AllTrails,
R017,Air_Terjun_Tumpak_Sewu.gpx,,AllTrails,
R018,Madakaripura_Waterfalls.gpx,,AllTrails,
R019,Pantai_dan_Tanjung_Papuma.gpx,,AllTrails,
R020,the_GEO_and_AEO_recommendations.md,,,2026-05
R021,Java Volcano Tour Optimization Audit.md,,,2026-05
R022,JVTO SEO Audit — Full Site Review.md,,,2026-05-17
R023,Java Volcano Tour SEO Audit (1).md,,,2026-05
R024,SEO Audit for Java Volcano Tours.md,,,2026-05
R025,SEO and UX for Java Volcano Tours.md,,,2026-05
R026,Website Data Transformation to EAV.md,,,2026-05
R027,Optimasi AI Java Volcano Tour Operator.md,,,2026-05
R028,Competitor Analysis for Website Redesign (1).md,,,2026-05
R029,Analisis Data dan Konsolidasi WHY JVTO.md,,,2026-05
R030,Why_JVTO_Page_Registry_ Technical & Content Blueprint.md,,,2026-05
R031,Integrasi Data SDM ke Strategi Why JVTO.md,,,2026-05
R032,Transformasi Rekomendasi Menjadi Registry.md,,,2026-05
R033,The_JVTO_Digital_Trust_Fortress__A_Technical___Content_Implementation_Blueprint.md,,,2026-05
R034,____WIREFRAME_BLUEPRINT__HALAMAN__WHY_JVTO___THE_HUB_.md,,,2026-05
R035,Laporan Konsolidasi Strategis_ Transformasi Aset JVTO Menjadi Data Terstruktur.md,,,2026-05
R036,gemini-code-1779633053483.html,,,2026-05
R037,UX_UI Design Review for JVTO (1).md,,,2026-05
R038,FINANCE/1 Day Bromo Midnight Experience from Surabaya.xlsx,,PT Java Volcano Rendezvous,
R039,FINANCE/1 Day Surabaya - Mount Bromo Sunrise Tour.xlsx,,PT Java Volcano Rendezvous,
R040,FINANCE/2 Day Bromo Sunrise Adventure from Surabaya.xlsx,,PT Java Volcano Rendezvous,
R041,FINANCE/2 Day Ijen Blue Fire Expedition from Surabaya.xlsx,,PT Java Volcano Rendezvous,
R042,"FINANCE/3 Day Bromo, Madakaripura Waterfall & Ijen Overland from Surabaya to Bali.xlsx",,PT Java Volcano Rendezvous,
R043,"FINANCE/3 Day Ijen, Bromo & Madakaripura Waterfall Discovery from Surabaya.xlsx",,PT Java Volcano Rendezvous,
R044,"FINANCE/3 Day Ijen, Bromo & Madakaripura Waterfall Journey from Bali to Surabaya.xlsx",,PT Java Volcano Rendezvous,
R045,"FINANCE/3 Day Taman Safari Prigen, Bromo & Madakaripura Family Adventure from Surabaya.xlsx",,PT Java Volcano Rendezvous,
R046,"FINANCE/4 Day Ijen, Bromo & Madakaripura Waterfall Expedition from Surabaya.xlsx",,PT Java Volcano Rendezvous,
R047,"FINANCE/4 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Expedition from Bali to Surabaya.xlsx",,PT Java Volcano Rendezvous,
R048,"FINANCE/4 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Journey from Surabaya.xlsx",,PT Java Volcano Rendezvous,
R049,"FINANCE/4 Day Tumpak Sewu, Bromo & Ijen Adventure from Surabaya to Bali.xlsx",,PT Java Volcano Rendezvous,
R050,"FINANCE/5 Day Ijen, Bromo, Madakaripura & Malang City Adventure from Surabaya.xlsx",,PT Java Volcano Rendezvous,
R051,"FINANCE/5 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Discovery from Bali to Surabaya.xlsx",,PT Java Volcano Rendezvous,
R052,"FINANCE/5 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Nature Trip from Surabaya.xlsx",,PT Java Volcano Rendezvous,
R053,FINANCE/rate_cards/Copy of accommodation-rate-card.json,,PT Java Volcano Rendezvous,
R054,FINANCE/rate_cards/Copy of activities-rate-card.json,,PT Java Volcano Rendezvous,
R055,FINANCE/rate_cards/Copy of crew-roles-rate-card.json,,PT Java Volcano Rendezvous,
R056,FINANCE/rate_cards/Copy of other-activities-rate-card.json,,PT Java Volcano Rendezvous,
R057,FINANCE/rate_cards/Copy of vehicle-rate-card.json,,PT Java Volcano Rendezvous,
R058,Mount Ijen Safety and Support Resource Mapping.xlsx,,PT Java Volcano Rendezvous,2026-05-25
R059,Tourist Accidents at Kawah Ijen and Surrounding Areas.xlsx,,PT Java Volcano Rendezvous,2026-05-25
R060,JVTO_Verification_Dossier.pdf,,PT Java Volcano Rendezvous (NotebookLM AI-generated),2026-05-25
R061,Operational Safety Management Protocol_ High-Altitude Volcanic Excursions (Kawah Ijen Framework).md,,PT Java Volcano Rendezvous (AI-generated),2026-05-25
R062,backoffice/schema/full-schema.sql,,PT Java Volcano Rendezvous (MariaDB 10.11 @ Hostinger),2026-05-25
R063,backoffice/_manifest.md,,PT Java Volcano Rendezvous,2026-05-25
R064,backoffice/csv/*.csv,,PT Java Volcano Rendezvous (MariaDB 10.11 @ Hostinger),2026-05-25
