id,route_id,seq,time_or_label,timezone,activity,type,location,from_location,to_location,duration_minutes,name
1,10,1,10:00,WITA,Pick up at your hotel in Bali and depart for Gilimanuk Harbor. This is the overland transfer segment across Bali toward the ferry port to continue the journey to Banyuwangi.,TravelAction,"",Hotel in Bali,Gilimanuk Harbor,240,Bali Hotel Pick-up to Gilimanuk
2,10,2,14:00,"",Arrive at Gilimanuk Harbor and proceed with the ferry boarding process. This step covers arrival at the harbor and completing the necessary boarding flow to cross to Ketapang Port.,TravelAction,"",Gilimanuk Harbor,Ketapang Port,60,Ferry Crossing to Ketapang
3,10,3,14:15,WIB,"Arrive at Ketapang Port, Banyuwangi, and note the time zone change of -1 hour. This is the arrival point on the Java side; adjust your timing reference accordingly before continuing the transfer to the hotel.",TravelAction,"",Ketapang Port,Banyuwangi Hotel,15,Transfer to hotel in Banyuwangi
4,10,4,14:15,WIB,Check-in at the Banyuwangi hotel. This step covers arrival at your accommodation and completing the standard check-in process so you can settle in after the crossing.,CheckInAction,Banyuwangi Hotel,"","",10,Hotel Check-in
5,10,5,14:30,WIB,"A health screening will be conducted by medical personnel at a local clinic. This is a quick procedure to check vital signs as a prerequisite for climbing Ijen, completed as a short scheduled stop before the evening program.",TouristAttractionVisit,Local Clinic,"","",15,Ijen Health Screening
6,10,6,19:00,WIB,"Dinner at the hotel or a nearby restaurant (own expense). This is the planned dinner window in Banyuwangi city after check-in and the health screening, with dining costs handled personally.",TouristAttractionVisit,Banyuwangi City,"","",60,Dinner
7,11,1,"09:00",WITA,"Pick up at your hotel in Bali. Meet our team at the agreed pick-up point, confirm departure readiness, then begin the road transfer across Bali toward Gilimanuk Harbor for the ferry connection to Java.",TravelAction,"",Hotel in Bali,Gilimanuk Harbor,240,Bali Hotel Pick-up to Gilimanuk
8,11,2,13:00,"","Arrive at Gilimanuk Harbor and proceed with the ferry boarding process. This step covers arrival at the port area, moving through the boarding flow, and getting ready to cross to Ketapang Port.",TravelAction,"",Gilimanuk Harbor,Ketapang Port,60,Ferry Crossing to Ketapang
9,11,3,13:00,WIB,"Arrive at Ketapang Port, Banyuwangi, and note the time zone change (-1 hour). After disembarking, continue with the overland transfer toward Bondowoso City as scheduled for the day.",TravelAction,"",Ketapang Port,Bondowoso City,210,Transfer to Bondowoso City Hotel
10,11,4,16:30,WIB,Arrive in Bondowoso and complete the hotel check-in process. This is the settling-in step after the cross-strait transfer and the drive inland to the Bondowoso (Ijen area) accommodation.,CheckInAction,Bondowoso Hotel,"","",10,Bondowoso Hotel Check-in
11,11,5,17:30,WIB,A health screening will be conducted by medical personnel directly at your hotel. This is a quick vital-signs check scheduled as a prerequisite step before the Ijen climb program.,TouristAttractionVisit,Bondowoso Hotel,"","",15,Ijen health screening
12,11,6,19:00,WIB,"Dinner is served at the accommodation (included). This is the planned evening meal at the hotel after check-in and the health screening, allowing time to rest after a long travel day.",TouristAttractionVisit,Bondowoso Hotel,"","",60,Included Dinner at Hotel
13,12,1,"08:00",WITA,Morning pick up at your hotel in Bali. Meet at the confirmed lobby pick-up point and begin the overland transfer toward Gilimanuk Harbor to connect with the ferry crossing.,TravelAction,"",Hotel in Bali,Gilimanuk Harbor,240,Bali Morning Pick-up to Gilimanuk
14,12,2,12:00,"",Arrive at Gilimanuk Harbor and board the ferry. This step covers port arrival and completing the boarding flow to begin the sea crossing to Ketapang Port.,TravelAction,"",Gilimanuk Harbor,Ketapang Port,60,Ferry Crossing to Ketapang
15,12,3,12:00,WIB,"Arrive at Ketapang Port, Banyuwangi and continue the long overland transfer to the Bromo area. This is the extended road journey segment connecting the ferry arrival point to the Bromo accommodation area.",TravelAction,"",Ketapang Port,Bromo Area,300,Long Journey to Bromo
16,12,4,13:00,WIB,"Lunch (at your own expense) along the way. This is a short, practical meal stop during the drive, with time allocated to order food and take a brief rest before continuing the transfer.",TouristAttractionVisit,En route to Bromo,"","",30,Lunch Break (Own Expense)
17,12,5,18:00,WIB,Estimated arrival in the Bromo area. Check in to your hotel and rest immediately. This step covers arrival at the accommodation and completing check-in so you can settle in after a full day of travel.,CheckInAction,Bromo Hotel,"","",10,Bromo Hotel Check-in
18,21,1,"02:00","","Starting the Bromo Jeep tour. Begin the scheduled early-morning Jeep-based Bromo program, following the sunrise tour sequence in the Mount Bromo area within the allocated time window.",TouristAttractionVisit,Mount Bromo,"","",390,Bromo Jeep Tour Experience
19,21,2,"08:30","",Back to the hotel for breakfast. Return from the morning Bromo program to the hotel and take a proper breakfast break before the mid-day check-out and onward transfer.,TouristAttractionVisit,Bromo Hotel,"","",60,Hotel Breakfast
20,21,3,12:00,"",Check-out hotel. Complete the hotel check-out process and prepare luggage and departure logistics for the overland journey to Bondowoso (Ijen area).,CheckOutAction,Bromo Hotel,"","",10,Bromo Hotel Check-out
21,21,4,12:00,"","Travel to Bondowoso (about 3-4 hours). Start the overland transfer from the Bromo area to Bondowoso, transitioning from the volcanic highlands toward the Ijen-area base town as scheduled.",TravelAction,"",Bromo Area,Bondowoso,210,Transfer to Bondowoso
22,21,5,13:30,"","Stop for lunch on the way (cost not included). Take a short meal break during the transfer, allowing time to order food and rest briefly before continuing to Bondowoso.",TouristAttractionVisit,En route to Bondowoso,"","",30,Lunch Break (Own Expense)
23,21,6,15:30,"","Arrive in Bondowoso, check-in hotel. Reach the Bondowoso accommodation and complete the check-in procedure so you can settle in after the transfer day.",CheckInAction,Bondowoso Hotel,"","",10,Bondowoso Hotel Check-in
24,21,7,17:30,"",A health screening will be conducted by medical personnel directly at your hotel. This is a quick vital-signs check scheduled as a prerequisite before the Ijen climbing program.,TouristAttractionVisit,Bondowoso Hotel,"","",15,Ijen health screening
25,21,8,19:00,"","Dinner is served at the accommodation (included). Conclude the day with the planned dinner at the hotel, allowing time to rest and recover after an early start and long transfer.",TouristAttractionVisit,Bondowoso Hotel,"","",60,Included Dinner at Hotel
26,22,1,"02:00","","Starting the Bromo Jeep tour. Begin the scheduled early-morning Jeep program in the Mount Bromo area, following the sunrise tour sequence as the first major block of the day.",TouristAttractionVisit,Mount Bromo,"","",390,Bromo Jeep Tour Experience
27,22,2,"09:00","",Back to the hotel for a quick breakfast. Return to the hotel after the Bromo program for a short breakfast stop before immediate check-out and departure for the long drive.,TouristAttractionVisit,Bromo Hotel,"","",30,Quick Hotel Breakfast
